node,average_stars,fans,name,review_count,yelping_since,cool,funny,usefull
wvxdLnO12hIh38YbArFp5Q,3.59,269,Kathleen,1405,2005-07,3729,4298,5278
jIJXDhJ08iCh5KxZjIuRPQ,3.69,121,Jill,1116,2005-08,2644,2762,2805
rrMFTYBQq3p6x-mXRkDhdw,3.85,61,Debra,537,2005-08,1230,1196,2071
7FuLnS_-b79GG-33mwLaMg,3.69,90,Andrew,3934,2005-07,2409,1638,4375
p64irD26M0-tgKj0z1jgKw,4.1,229,Euge,746,2005-07,7113,7785,7463
EoTooNBcxu0Hy0-XeZI8aw,3.32,24,Carina,836,2005-03,648,772,1497
DglSIRnl69GUqHvVnG3QaA,4.13,133,Michelle,620,2005-04,4171,4196,4210
C2hVx7POcUGLQZV3hW6_sw,3.78,9,Lacey,397,2005-06,348,398,616
nqwJ_etT_H5yC7tssYHwjw,3.85,84,Kimberly,599,2005-06,4937,5771,4801
ln1X1Z4c8tw4KHvT8ZZibg,3.55,5,Amy,94,2005-06,34,52,161
_i7MieuO7KQXJ6ZLO4ZTqg,3.65,125,Lia,1541,2005-12,3522,2241,6000
cj33h4koJXHgTmKDMjJ4Ew,4.02,179,Josie,625,2006-03,2111,1821,2653
t-CIsDr8WTHAYDJtYtbY1g,4.04,5,Laura,117,2006-06,83,49,249
fpfXXoQ74DHFvS_pZMRhvA,4.01,72,Adrienne,558,2006-07,1066,494,1374
OCpgp9mif9dYaCU_rtm8gg,4.24,55,Victoria,460,2006-09,1173,877,1468
Zuqri2nyntU1bzfDaFU_fw,3.93,9,Kent,351,2005-04,255,221,570
0FqVxW9PVqh66vMbNJ4Y1A,4.04,84,kristin,646,2005-10,1705,1391,1732
P-lfV8cdAgEOZJkw2dJpsw,3.95,160,David,1083,2005-12,10431,6750,9981
Qkyqu27pUqS9uJKqfqgD_Q,4.05,121,Clara,759,2006-01,2049,1352,2529
yf12P_T0AKLNzFt12zj16g,4.01,36,Allison,618,2006-02,562,405,944
ICD05kyCtPO7mfAIUea7Sw,3.93,4,Mike,398,2006-02,168,155,409
bhWJg2PD_xWoBnqvbX45QA,3.25,9,Kayla,154,2006-03,125,130,338
-2RVxn8RRN3j9bOiqGkjug,4.06,9,Hugh,179,2006-03,310,258,383
Algcnya2NLgj-NL3l5e_ew,3.81,34,Ani,363,2006-03,435,866,1202
Jb5uR0br80znL6ElNGVvKg,3.74,20,Cathy,334,2005-03,335,202,540
S742m-AuQicMSLDdErrLZQ,3.76,46,Aim,324,2005-04,1346,1117,1325
o9t7nO4hUiP88FQ_WEvdOw,3.87,10,Mark,791,2005-05,277,165,679
Bn4sJUTtKFZQt0FKHF2Adw,4.29,21,Judy,864,2005-03,662,345,1036
xaPwzbtkselbxI472WIjsA,3.86,34,Cassidy,565,2005-04,1175,744,1546
W0kedn_tFfP2b1YwUF8HEA,4.15,32,Ellie,441,2005-06,362,161,723
ARe8Nr_YehB2ubsGJhZ-hg,3.92,594,Andrea,2469,2006-01,11186,7862,15352
TjPt2hD56jfpmtoa6kVVRg,3.88,41,Aaron,373,2006-02,969,710,1300
RRs36fV1eWCkA3kJLDab_A,4.06,51,Ben,414,2006-03,2058,1945,2233
rpOyqD_893cqmDAtJLbdog,3.66,1179,Jeremy,1274,2004-10,11093,7681,14199
06O-7pDEoDuKhD-PKQHBqQ,3.43,0,Phil,7,2005-03,4,2,11
6Wuwx_PAlXmcCJA0tinQ0A,4.05,103,Jennifer,1662,2005-11,1533,909,2294
EzwFqwq-iQzF8PA3zajhVw,3.36,25,Sarah,224,2005-12,178,171,529
L3YVTmTV96Who9VY3w7Zzw,3.56,13,Lauren,834,2005-06,464,534,653
4hxVql33ldY_gkf3rG8_3w,3.73,55,Wendy,1097,2005-09,832,320,1904
uzqM9qDSbuZUUQMUUR8OCQ,3.62,43,Bella,510,2005-10,593,539,1063
yr2MEzXpQ-5xgEq2PnpXZg,3.8,60,Allison,823,2005-11,776,322,1347
X0AqSAXMZ62mu7hV0tVa0A,3.48,4,Miss,62,2006-01,48,30,82
ErSb86Rzw_lZw4Vfr_iWnQ,3.83,16,Rinne,384,2006-02,322,205,385
Fm3QEnBa4vu6lxn7RFF2Ig,3.62,5,Angel,182,2005-04,66,49,176
D5OsccvdRypNOSwU9e2ydQ,3.57,3,Jeannette,132,2005-06,111,63,215
pePGMO6EbDpbaZ7D2m6HIg,4.03,72,JayChan,430,2005-07,1838,1912,1789
8DqIWXsKXOipfduYEfFpNw,4.2,39,Tanya,857,2005-07,1208,669,1540
9A8OuP6XwLwnNb9ov3_Ncw,3.79,112,Gil,1062,2005-03,2370,2200,3111
sCOeWIzAMkGVUvn4ayLeFw,3.42,32,Helen,742,2005-10,614,478,1050
nqDqf9icSGoOrr0a8aP1Eg,3.9,30,Spartacus,148,2005-03,241,248,298
zCnI_xiNYnY6ebGwkj5yvg,3.67,11,Edward,518,2005-04,601,537,829
5663s_8d6zqCXh4CS8a0LA,3.69,82,Cherie,1620,2005-10,2684,1316,4147
sto2Yme-UpbNXb5vxPj9Nw,4.24,32,Monica,495,2005-11,254,158,639
gr4mNTWD5w2rZ9lVuJs2Tw,3.69,3,Jeremy,294,2005-08,120,71,366
ZZ5hV2jcxchiZo6C9AXq_Q,3.89,71,Aly,745,2005-10,1976,1717,1944
LroJKi7_BWqDT7lbHvt6kg,3.94,615,Leighann,961,2005-10,6382,4308,8252
Re447krbp0VQVX3Dk4Tsog,3.88,19,Andrew,263,2004-10,175,157,665
-_1ctLaz3jhPYc12hKXsEQ,3.26,67,Chad,1758,2004-12,1643,1879,3748
fz87VXeaKu7x5P3tdQ_4Bw,3.81,8,Christine,35,2005-08,28,38,107
uZbTb-u-GVjTa2gtQfry5g,3.85,62,Karen,1448,2006-01,2063,1232,3807
wOSwzy3p0cuwbv5xjZW1bA,3.45,26,Janelle,308,2006-03,232,153,290
sBVXcw3AltfpXk9ImwPyaA,3.33,86,Lisa,1447,2006-06,1765,1971,3138
77s2qg6JOqXy69stUku6ew,3.72,179,Matt,1827,2006-06,12764,10701,13625
1PfVyfx8dKmVdz_-iqkPtA,3.52,53,Deborah,315,2006-07,1382,1017,1726
fGEfcxK3P2mORZzggUGoOw,3.85,24,Leroid,294,2005-08,253,88,344
XL9D0wXPLcmNox-d9XDfTg,3.89,33,Jason,584,2005-08,934,372,1219
HI-QmpsYxP5AJtRPanXKQw,3.71,0,Amanda,6,2008-11,1,0,28
rYI9SVnGuPcWyhr1RiZgaw,3.04,0,Rattie,23,2009-04,2,7,30
xu_KA5FxXfb5-vx0uz_BNg,3.6,0,Michelle,5,2009-08,0,2,0
teMRfPFaXc-glSs1jdTyFw,4.11,1,Steven,19,2011-02,9,2,27
-OxLpeAl4T-rMXaJAn2RDQ,3.68,1,Tiffany,33,2011-03,8,5,20
njpjzE7lRhaWDg688gU2bg,4.12,0,Drew,28,2011-03,3,2,3
0bS4Xdg6xyXKepmayuh-8Q,3.0,0,Steve,3,2012-01,0,0,2
GP68togo6XkoHHBE6AUkpg,3.0,0,Breanne,2,2012-10,0,0,0
fmUMzhKeU_0O3wKhMEr6iw,4.33,0,K,14,2013-01,6,5,17
4LERTwl7EOZlPBj9DOKENg,3.83,0,Kevin,6,2013-01,4,0,8
sAWN7b_aNZRyv1YuDv62pQ,3.0,0,Arvind,3,2013-02,0,0,0
Y8WQDDMV3vMFIQHwg25rdg,3.33,0,Esayas,3,2013-02,0,0,0
0O4tplcM3l7Vy0YP8kcwgQ,5.0,0,Kristine,1,2013-07,0,0,0
QbE5KQHTZj4gKA_qt2jBAQ,3.67,0,Michael,3,2013-07,0,0,0
tZZty5UNWrOiPlfsu_XCsQ,3.81,0,Antony,42,2013-09,0,2,4
WbeUV41fKMLJTKFSv-sWoQ,4.67,0,Dan,3,2014-04,4,0,5
rrGaPRXG4O8jNhbyTUzMEw,2.0,0,Adam,2,2014-06,0,2,0
EBC7wHfgB4OqzUAUU9RSwA,3.37,0,Vicky,19,2014-06,9,4,16
wd5LbxpbBEP7FVgU_f3ptQ,5.0,0,Raven,3,2014-08,0,0,1
-BjekrEUhweLVyrjVStMgg,4.4,0,Jimmy,5,2014-10,0,0,2
QpV9pSeeMuKJA0qLHJ27mA,3.25,1,Derrick,12,2014-10,0,0,5
hSYqAqxdifcULKX_-r9C_A,2.0,0,JC,1,2014-12,0,0,0
4GyUVADUqSP83vGskcz3GQ,2.83,0,TJ,12,2014-12,0,0,3
rLOlKKUULGTkjfPnaiKniA,4.67,0,Gin,3,2014-12,0,0,0
XEufTLZMDW_RcmO6O1NYwg,4.0,0,Aaron,2,2014-12,0,0,0
zwzLIS-noG9ynASgrNbNgA,4.33,0,Julio,6,2015-02,0,0,3
VpsFsXYiVGmsBprr9Onb0Q,4.0,0,Amanda,13,2014-01,0,1,2
XQiaNhoZbdxaN3pJIBADvw,4.2,0,S,10,2015-02,1,0,2
QMMa505Dsn94afwCckZz6w,5.0,0,Debanhy,1,2015-06,0,0,0
Yb1f5A96UBOkdX81WbUSKQ,3.6,0,Joe,6,2015-08,0,0,2
